Species;Continent;Realm;BibliographicReference;ReferenceYear
Agrius cingulata;North America;Nearctic;Marabuto, E. (2006). The occurrence of a neotropical hawkmoth in southern Portugal: Agrius cingulatus (Fabricius, 1775) (Lepidoptera: Sphingidae). Boletin de la Sociedad Entomologica Aragonesa. 38: 163-166;2006.0
Agrius cingulata;Oceania;Nearctic;Marabuto, E. (2006). The occurrence of a neotropical hawkmoth in southern Portugal: Agrius cingulatus (Fabricius, 1775) (Lepidoptera: Sphingidae). Boletin de la Sociedad Entomologica Aragonesa. 38: 163-166;2006.0
Agrius cingulata;South America;Neotropical;Marabuto, E. (2006). The occurrence of a neotropical hawkmoth in southern Portugal: Agrius cingulatus (Fabricius, 1775) (Lepidoptera: Sphingidae). Boletin de la Sociedad Entomologica Aragonesa. 38: 163-166;2006.0
Agrius cingulata;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agrius convolvuli;Africa;Afrotropical;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273;2004.0
Agrius convolvuli;Oceania;Oceanian;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273;2004.0
Agrius convolvuli;Asia;Oriental;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273;2004.0
Agrius convolvuli;Europe;Palearctic;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273;2004.0
Agrius convolvuli;Africa;Saharo-Arabian;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273;2004.0
Agrius convolvuli;Asia;Sino-Japanese;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273;2004.0
Agrius convolvuli;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agrius convolvuli;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agrius convolvuli;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agrius convolvuli;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agrotis ipsilon;Australia;Australian;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425;1997.0
Agrotis ipsilon;Oceania;Australian;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425;1997.0
Agrotis ipsilon;North America;Nearctic;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425;1997.0
Agrotis ipsilon;Oceania;Nearctic;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425;1997.0
Agrotis ipsilon;South America;Neotropical;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425;1997.0
Agrotis ipsilon;Oceania;Oceanian;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425;1997.0
Agrotis ipsilon;Asia;Oriental;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425;1997.0
Agrotis ipsilon;Asia;Palearctic;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425;1997.0
