Species;AcceptedSpecies;Genus;Family;Butterfly
Parapoynx diminutalis;Parapoynx diminutalis;Parapoynx;Crambidae;0
Phoebis orbis;Aphrissa orbis;Aphrissa;Pieridae;1
Physula albipunctilla;Physula albipunctilla;Physula;Erebidae;0
Pseudaletia sequax;Mythimna sequax;Mythimna;Noctuidae;0
Ptichodis immunis;Ptichodis immunis;Ptichodis;Erebidae;0
Spodoptera androgea;Spodoptera androgea;Spodoptera;Noctuidae;0
Sporylus cubensis;Scorylus cubensis;Scorylus;Pyralidae;0
Strymon limenia;Thecla limenia;Thecla;Lycaenidae;1
Urania fulgens;Urania fulgens;Urania;Uraniidae;0
Crocidosema lantana;Crocidosema lantana;Crocidosema;Tortricidae;0
Brephidium exilis;Brephidium exilis;Brephidium;Lycaenidae;1
Simplicia cornicalis;Simplicia cornicalis;Simplicia;Erebidae;0
Junonia zonalis;Junonia lavinia;Junonia;Nymphalidae;1
Neomusotima conspurcatalis;Neomusotima conspurcatalis;Neomusotima;Pyralidae;0
Acrolepiopsis jaspidata;Acrolepia jaspidata;Acrolepia;Glyphipterigidae;0
Agathodes designalis;Agathodes designalis;Agathodes;Crambidae;0
Ancylostomia stercorea;Ancylostomia stercorea;Ancylostomia;Crambidae;0
Asciodes gordialis;Asciodes gordialis;Asciodes;Crambidae;0
Asciodes quietalis;Asciodes gordialis;Asciodes;Crambidae;0
Bactra philocherda;Bactra philocherda;Bactra;Tortricidae;0
Bagisara repanda;Bagisara repanda;Bagisara;Noctuidae;0
Calpodes ethlius;Calpodes ethlius;Calpodes;Hesperiidae;1
Aphomia cephalonica;Corcyra cephalonica;Corcyra;Pyralidae;0
Crocidosema synneurota;Crocidosema synneurota;Crocidosema;Tortricidae;0
Diaphania hyalinata;Diaphania hyalinata;Diaphania;Crambidae;0
Diaphania nitidalis;Cryptographis nitidalis;Cryptographis;Crambidae;0
Disclisioprocta stellata;Disclisioprocta stellata;Disclisioprocta;Geometridae;0
Episimus transferrana;Episimus transferrana;Episimus;Tortricidae;0
Erechthias minuscula;Erechthias minuscula;Erechthias;Tineidae;0
Etiella zinckenella;Etiella zinckenella;Etiella;Pyralidae;0
Eublemma recta;Eublemma recta;Eublemma;Noctuidae;0
Exelastis montichristi;Exelastis montichristi;Exelastis;Pterophoridae;0
Exelastis pumilio;Exelastis pumilio;Exelastis;Pterophoridae;0
Fundella argentina;Fundella argentina;Fundella;Pyralidae;0
Hemiargus ceraunus;Hemiargus ceraunus;Hemiargus;Lycaenidae;1
Herpetogramma bipunctalis;Herpetogramma bipunctalis;Herpetogramma;Crambidae;0
Herpetogramma phaeopteralis;Herpetogramma phaeopteralis;Herpetogramma;Crambidae;0
Hymenia perspectalis;Hymenia perspectalis;Hymenia;Crambidae;0
