;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference
114;0;South America;Neoleucinodes elegantalis;Neotropical;2017;Da Silva, R., Kumar, L., Shabani, F., Da Silva, E., da Silva Galdino, T. and Picanço, M. (2017). Spatio-temporal dynamic climate model for Neoleucinodes elegantalis using CLIMEX. International Journal of Biometeorology, 61: 785-795
115;0;South America;Thecla megarus;Neotropical;2014;Gilligan, T. and Passoa, S. (2014). LepIntercept - An identification resource for intercepted Lepidoptera larvae. Available at: https://idtools.org/id/lepintercept/strymon.html
116;0;South America;Stenoma catenifer;Neotropical;2008;Hoddle, M. and Hoddle, C. (2008). Bioecology of Stenoma catenifer (Lepidoptera: Elachistidae) and associated larval parasitoids reared from Hass avocados in Guatemala. Journal of Economic Entomology, 101(3): 692-698
117;0;South America;Spodoptera ornithogalli;Neotropical;2019;Brito, R., Specht, A., Gonçalves, G., Moreira, G., Carneiro, E., Santos, F., ... and Casagrande, M. (2019). Spodoptera marima: a new synonym of Spodoptera ornithogalli (Lepidoptera: Noctuidae), with notes on adult morphology, host plant use and genetic variation along its geographic range. Neotropical Entomology, 48: 433-448
118;0;South America;Niphograpta albiguttalis;Neotropical;1999;Stanley, J., Julien, M., Rumbo, E. and White, A. (1999). Post release monitoring of Xubida infusella (Lep.: Pyralidae): an example of using pheromones for the early detection of establishing populations of biological control agents. In: Proceedings of the 10th International Symposium on Biological Control of Weeds, Montana State University, Bozeman, MT. 4-14
119;0;South America;Mythimna unipuncta;Neotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
120;0;South America;Neogalea sunia;Neotropical;2010;Reinert, J., George, S., Mackay, W. and Campos, C. (2010). Resistance among lantana cultivars to the lantana stick caterpillar, Neogalea sunia (Lepidoptera: Noctuidae). Southwestern Entomologist. 35(1): 51-58
121;0;South America;Vanessa carye;Neotropical;2023;Escobar-Suarez, S., Villalobos-Leiva, A., Fabres, A., Ordenes-Claveria, R., Cruz-Jofre, F., Laroze, D., ... and Benitez, H. (2023). A geometric morphometrics and genetics characterization of Vanessa carye in an extreme elevational gradient in the Chilean Altiplano. Zoologischer Anzeiger. 304: 105-112
122;0;South America;Spodoptera eridania;Neotropical;2023;Zhang, Y., Zhao, H., Qi, Y., Li, M., Yang, N., Guo, J., ... and Liu, W. (2023). Global potential geographical distribution of the southern armyworm (Spodoptera eridania) under climate change. Biology. 12(7): 1040
123;0;South America;Azeta repugnalis;Neotropical;2002;Becker, V. and Miller, S. (2002). Large moths of Guana Island, British Virgin Islands: a survey of efficient colonizers (Lepidoptera: Sphingidae, Notodontidae, Noctuidae, Arctiidae, Geometridae, Hyblaeidae, Cossidae). Journal of the Lepidopterists Society. 56(1): 9-44
124;0;South America;Tinea murariella;Neotropical;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/
125;0;South America;Tinea pallescentella;Neotropical;2020;Roy, D., Alderman, D., Anastasiu, P., Arianoutsou, M., Augustin, S., Bacher, S., ... and Reyserhove, L., (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/
126;0;South America;Pareuchaetes aurata;Neotropical;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net
127;0;South America;Heliconius erato;Neotropical;1996;Jiggins, C., McMillan, W., Neukirchen, W. and Mallet, J. (1996). What can hybrid zones tell us about speciation? The case of Heliconius erato and H. himera (Lepidoptera: Nymphalidae). Biological Journal of the Linnean Society. 59(3): 221-242
128;0;South America;Dione vanillae;Neotropical;2006;da Silva, D., Dell ErbaII, R., KaminskiI, L., Moreira, G. (2006). External morphology of the immature stages of neotropical heliconians: V. Agraulis vanillae maculosa (Lepidoptera, Nymphalidae, Heliconiinae). Iheringia, Serie Zoologica. 96 (2)
129;0;South America;Hypsipyla grandella;Neotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
130;0;South America;Macrorrhinia endonephele;Neotropical;2020;Hayden, J. and Landry, J. (2020). Arcola malloi (Pastrana), the alligatorweed stemborer, a new synonym of Macrorrhinia endonephele (Hampson)(Lepidoptera: Pyralidae: Phycitinae). Insecta mundi. 768: 1–25
131;0;South America;Cactoblastis cactorum;Neotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
132;0;South America;Ascalapha odorata;Neotropical;2014;Ekrem, T., Kevan, P., Woodcock, T. and Hebert, P. (2014). The most northerly Black Witch (Ascalapha odorata): a tropical moth in the Canadian Arctic. The Canadian Field-Naturalist. 128(1): 77-79
133;0;South America;Episimus unguiculus;Neotropical;2019;Cuda, J., Gillmore, J., Conant, P., Medal, J. and Pedrosa-Macedo, J. (2019). Risk assessment of Episimus unguiculus (Lepidoptera: Tortricidae), a biological control agent of Schinus terebinthifolia (Sapindales: Anacardiaceae) in Hawaii, USA. Biocontrol Science and Technology. 29(4): 365–387
134;0;South America;Paysandisia archon;Neotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
135;0;South America;Crocidosema aporema;Neotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
136;0;South America;Chloridea virescens;Neotropical;1958;Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press.
137;0;Asia;Eupithecia abietaria;Palearctic;2021;Knyazev, S. and Mironov, V. (2021). Additions to the Catalogue of Lepidoptera of Omsk Region of Russia. Part 2: Eupithecia Curtis, 1825 (Lepidoptera: Geometridae). SHILAP Revista de lepidopterologia. 49(195): 563-568
138;0;Asia;Scrobipalpa ocellatella;Palearctic;2019;Bidzilya, O., Karsholt, O., Kravchenko, V. and Sumpich, J. (2019). An annotated checklist of Gelechiidae (Lepidoptera) of Israel with description of two new species. Zootaxa. 4677(1): 1-68
