Species;Continent;Realm;ReferenceYear;Reference
Agonoxena argaula;Oceania;Oceanian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agonoxena pyrogramma;North America;Nearctic;1984;Clarke, B., Gates-Clarke, J. (1984). Insects of Micronesia, Microlepidoptera: Gelechioidea. Insects of Micronesia. 9(2): 145-155
Agonoxena pyrogramma;Oceania;Oceanian;1984;Clarke, B., Gates-Clarke, J. (1984). Insects of Micronesia, Microlepidoptera: Gelechioidea. Insects of Micronesia. 9(2): 145-155
Agrius cingulata;North America;Nearctic;2006;Marabuto, E. (2006). The occurrence of a neotropical hawkmoth in southern Portugal: Agrius cingulatus (Fabricius, 1775) (Lepidoptera: Sphingidae). Boletin de la Sociedad Entomologica Aragonesa. 38: 163-166
Agrius cingulata;Oceania;Nearctic;2006;Marabuto, E. (2006). The occurrence of a neotropical hawkmoth in southern Portugal: Agrius cingulatus (Fabricius, 1775) (Lepidoptera: Sphingidae). Boletin de la Sociedad Entomologica Aragonesa. 38: 163-166
Agrius cingulata;South America;Neotropical;2006;Marabuto, E. (2006). The occurrence of a neotropical hawkmoth in southern Portugal: Agrius cingulatus (Fabricius, 1775) (Lepidoptera: Sphingidae). Boletin de la Sociedad Entomologica Aragonesa. 38: 163-166
Agrius cingulata;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agrius convolvuli;Africa;Afrotropical;2004;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273
Agrius convolvuli;Oceania;Oceanian;2004;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273
Agrius convolvuli;Asia;Oriental;2004;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273
Agrius convolvuli;Europe;Palearctic;2004;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273
Agrius convolvuli;Africa;Saharo-Arabian;2004;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273
Agrius convolvuli;Asia;Sino-Japanese;2004;Wen, L. (2004). Prospect on the parasitical enemies and its natural control effect of Agrius convolvuli. Chinese Journal of Biological Control. 20(4): 273
Agrius convolvuli;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agrius convolvuli;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agrius convolvuli;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
