Species;Continent;Realm;ReferenceYear;Reference
Agrius convolvuli;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agrotis ipsilon;Australia;Australian;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;Oceania;Australian;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;North America;Nearctic;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;Oceania;Nearctic;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;South America;Neotropical;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;Oceania;Oceanian;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;Asia;Oriental;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;Asia;Palearctic;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;Europe;Palearctic;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;North America;Panamanian;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;Africa;Saharo-Arabian;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;Asia;Saharo-Arabian;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;Asia;Sino-Japanese;1997;Showers, W. (1997). Migratory Ecology of the Black Cutworm. Annual Review of Entomology. 42: 393-425
Agrotis ipsilon;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agrotis segetum;Asia;Palearctic;2014;Esbjerg, P., Sigsgaard, L. (2014) Phenology and pest status of Agrotis segetum in a changing climate. Crop Protection, 62, 64–71
Agrotis segetum;Europe;Palearctic;2014;Esbjerg, P., Sigsgaard, L. (2014) Phenology and pest status of Agrotis segetum in a changing climate. Crop Protection, 62, 64–71
Agrotis segetum;Africa;Saharo-Arabian;2014;Esbjerg, P., Sigsgaard, L. (2014) Phenology and pest status of Agrotis segetum in a changing climate. Crop Protection, 62, 64–71
Agrotis segetum;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agrotis segetum;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agrotis segetum;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Alucita objurgatella;Oceania;Oceanian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Amorbia emigratella;North America;Nearctic;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Amorbia emigratella;North America;Panamanian;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Amorbia emigratella;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Amphipyra tragopoginis;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Amyelois transitella;North America;Nearctic;2021;EFSA Panel on Plant Health (EFSA PLH Panel), et al. (2021). Pest categorisation of Amyelois transitella. EFSA Journal. 19(6): 6666
Amyelois transitella;South America;Neotropical;2021;EFSA Panel on Plant Health (EFSA PLH Panel), et al. (2021). Pest categorisation of Amyelois transitella. EFSA Journal. 19(6): 6666
Amyelois transitella;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Amyna axis;Africa;Afrotropical;1999;Barnett, L. et al. (1999). The moths of the Chagos Archipelago with notes on their biogeography. Journal of Natural History. 33(7): 1021-1038
Amyna axis;North America;Nearctic;2010;Pogue, M. (2010). The Acontiinae and Eustrotiinae (Lepidoptera: Noctuidae) of Great Smoky Mountains National Park. Zootaxa. 2499: 1-20
Amyna axis;South America;Neotropical;2010;Pogue, M. (2010). The Acontiinae and Eustrotiinae (Lepidoptera: Noctuidae) of Great Smoky Mountains National Park. Zootaxa. 2499: 1-20
Amyna axis;Oceania;Oceanian;1999;Barnett, L. et al. (1999). The moths of the Chagos Archipelago with notes on their biogeography. Journal of Natural History. 33(7): 1021-1038
Amyna axis;Asia;Oriental;1999;Barnett, L. et al. (1999). The moths of the Chagos Archipelago with notes on their biogeography. Journal of Natural History. 33(7): 1021-1038
Amyna axis;North America;Panamanian;2010;Pogue, M. (2010). The Acontiinae and Eustrotiinae (Lepidoptera: Noctuidae) of Great Smoky Mountains National Park. Zootaxa. 2499: 1-20
Amyna axis;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Amyna axis;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Amyna axis;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Amyna natalis;Australia;Australian;2009;Holloway, J. (2009). Moths of Borneo 13. Family Noctuidae, subfamilies Pantheinae (part), Bagisarinae, Acontiinae, Aediinae, Eustrotiinae, Bryophilinae, Araeopteroinae, Aventiinae, Eublemminae and further miscellaneous genera. Malayan Nature Journal. 62 (1) : 1-240 Available online at: https://www.mothsofborneo.com/part-13/
Amyna natalis;Oceania;Oceanian;2009;Holloway, J. (2009). Moths of Borneo 13. Family Noctuidae, subfamilies Pantheinae (part), Bagisarinae, Acontiinae, Aediinae, Eustrotiinae, Bryophilinae, Araeopteroinae, Aventiinae, Eublemminae and further miscellaneous genera. Malayan Nature Journal. 62 (1) : 1-240 Available online at: https://www.mothsofborneo.com/part-13/
Amyna natalis;Asia;Oriental;2009;Holloway, J. (2009). Moths of Borneo 13. Family Noctuidae, subfamilies Pantheinae (part), Bagisarinae, Acontiinae, Aediinae, Eustrotiinae, Bryophilinae, Araeopteroinae, Aventiinae, Eublemminae and further miscellaneous genera. Malayan Nature Journal. 62 (1) : 1-240 Available online at: https://www.mothsofborneo.com/part-13/
Amyna natalis;Asia;Oriental;1958;Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press, Honolulu, Hawaii, United States of America
Archips fuscocupreanus;Europe;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Anacampsis humilis;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Anacampsis populella;Asia;Palearctic;2009;Holloway, J. (2009). Moths of Borneo 13. Family Noctuidae, subfamilies Pantheinae (part), Bagisarinae, Acontiinae, Aediinae, Eustrotiinae, Bryophilinae, Araeopteroinae, Aventiinae, Eublemminae and further miscellaneous genera. Malayan Nature Journal. 62 (1) : 1-240 Available online at: https://www.mothsofborneo.com/part-13/
Anacampsis populella;Europe;Palearctic;2009;Holloway, J. (2009). Moths of Borneo 13. Family Noctuidae, subfamilies Pantheinae (part), Bagisarinae, Acontiinae, Aediinae, Eustrotiinae, Bryophilinae, Araeopteroinae, Aventiinae, Eublemminae and further miscellaneous genera. Malayan Nature Journal. 62 (1) : 1-240 Available online at: https://www.mothsofborneo.com/part-13/
Anacampsis populella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Anania hortulata;Asia;Palearctic;2019;Yang, Z., Landry, J. (2019). Allopatric separation represents an overlooked cryptic species in the Anania hortulata species complex (Lepidoptera: Crambidae: Pyraustinae): congruence between genetic and morphological evidence. The Canadian Entomologist. 151(2): 163-186
Anania hortulata;Europe;Palearctic;2019;Yang, Z., Landry, J. (2019). Allopatric separation represents an overlooked cryptic species in the Anania hortulata species complex (Lepidoptera: Crambidae: Pyraustinae): congruence between genetic and morphological evidence. The Canadian Entomologist. 151(2): 163-186
Anania hortulata;Asia;Sino-Japanese;2019;Yang, Z., Landry, J. (2019). Allopatric separation represents an overlooked cryptic species in the Anania hortulata species complex (Lepidoptera: Crambidae: Pyraustinae): congruence between genetic and morphological evidence. The Canadian Entomologist. 151(2): 163-186
Anania hortulata;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Anania hortulata;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Anarsia lineatella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Anarta decepta;North America;Nearctic;1958;Zimmerman, E. (1958). Insects of Hawaii. Volume 7, Macrolepidoptera. Hawaii: University of Hawaii Press, Honolulu, Hawaii, United States of America
Anarta trifolii;North America;Nearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Anarta trifolii;South America;Neotropical;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Anarta trifolii;Asia;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Anarta trifolii;Europe;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Anarta trifolii;North America;Panamanian;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Anarta trifolii;South America;Panamanian;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Anartia fatima;North America;Nearctic;2022;Pfeiler, E. et al. (2022). Phenotypic diversity, population genetics and interspecific relationships of the Neotropical banded peacock butterfly Anartia fatima (Nymphalidae: Nymphalinae). Biological Journal of the Linnean Society. 136(1): 135-144
Anartia fatima;South America;Neotropical;2022;Pfeiler, E. et al. (2022). Phenotypic diversity, population genetics and interspecific relationships of the Neotropical banded peacock butterfly Anartia fatima (Nymphalidae: Nymphalinae). Biological Journal of the Linnean Society. 136(1): 135-144
Anartia fatima;North America;Panamanian;2022;Pfeiler, E. et al. (2022). Phenotypic diversity, population genetics and interspecific relationships of the Neotropical banded peacock butterfly Anartia fatima (Nymphalidae: Nymphalinae). Biological Journal of the Linnean Society. 136(1): 135-144
Anartia fatima;South America;Panamanian;2022;Pfeiler, E. et al. (2022). Phenotypic diversity, population genetics and interspecific relationships of the Neotropical banded peacock butterfly Anartia fatima (Nymphalidae: Nymphalinae). Biological Journal of the Linnean Society. 136(1): 135-144
Anartia lytraea;North America;Nearctic;1864;Weidemeyer, J. (1864). Catalogue of North American Butterflies. Proceedings of the Entomological Society. 2(1): 143-154
Anartia lytraea;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Anatrachyntis badia;North America;Nearctic;2017;Dawidowicz, L., Rozwalka, R. (2017). Anatrachyntis badia (Hodges, 1962) (Lepidoptera: Cosmopterigidae): the first report from Turkey and a case of importation to Poland. Turkish Journal of Zoology. 41: 60-63
Anatrachyntis badia;North America;Nearctic;2018;Hua, C. et al. (2018). A first record of Anatrachyntis badia (Hodges 1962)(Lepidoptera: Cosmopterigidae) on Zamia integrifolia (Zamiaceae). Florida Entomologist. 335-338
Anatrachyntis badia;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Archips fuscocupreanus;Asia;Sino-Japanese;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Archips xylosteana;Asia;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Archips xylosteana;Europe;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Anatrachyntis rileyi;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Archips xylosteana;Africa;Saharo-Arabian;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Archips xylosteana;Asia;Saharo-Arabian;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Archips xylosteana;Asia;Sino-Japanese;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Anatrachyntis simplex;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Anchoscelis lunosa;Europe;Palearctic;2017;Ronkay, L. et al. (2017). Xyleninae I. A Taxonomic Atlas of the Eurasian and North African Noctuoidea. Heterocera Press Ltd. Budapest, Hungary
Anchoscelis lunosa;Africa;Saharo-Arabian;2017;Ronkay, L. et al. (2017). Xyleninae I. A Taxonomic Atlas of the Eurasian and North African Noctuoidea. Heterocera Press Ltd. Budapest, Hungary
Ancylis comptana;North America;Nearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Ancylis comptana;Asia;Palearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Ancylis comptana;Europe;Palearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Ancylostomia stercorea;North America;Nearctic;1972;Barrow, R. (1972). The bionomics of Ancyclostomia stercorea (zeller): a pod-borer on pigeon pea in Trinidad. [PhD Thesis, McGill University, Quebec]
Ancylostomia stercorea;South America;Neotropical;1972;Barrow, R. (1972). The bionomics of Ancyclostomia stercorea (zeller): a pod-borer on pigeon pea in Trinidad. [PhD Thesis, McGill University, Quebec]
Ancylostomia stercorea;North America;Panamanian;1972;Barrow, R. (1972). The bionomics of Ancyclostomia stercorea (zeller): a pod-borer on pigeon pea in Trinidad. [PhD Thesis, McGill University, Quebec]
